ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;19;0;1;2;1.0;0.9047619047619048;0.3333333333333333;1.0
3591;0;0;1;0;1.0;;1.0;
527;8;1;0;1;0.0;0.8888888888888888;0.0;0.8888888888888888
1045;5;0;1;0;1.0;1.0;1.0;1.0
3620;4;0;1;0;1.0;1.0;1.0;1.0
3621;2;1;0;0;0.0;1.0;;0.6666666666666666
9774;9;1;0;0;0.0;1.0;;0.9
3632;1;1;0;0;0.0;1.0;;0.5
3635;7;0;1;0;1.0;1.0;1.0;1.0
565;8;1;0;0;0.0;1.0;;0.8888888888888888
9795;4;1;0;0;0.0;1.0;;0.8
1092;4;0;1;1;1.0;0.8;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
1099;3;0;1;0;1.0;1.0;1.0;1.0
3661;8;1;0;1;0.0;0.8888888888888888;0.0;0.8888888888888888
83;2;1;0;0;0.0;1.0;;0.6666666666666666
97;0;0;1;0;1.0;;1.0;
3685;2;1;0;0;0.0;1.0;;0.6666666666666666
9745;0;0;1;0;1.0;;1.0;
1641;0;1;0;0;0.0;;;0.0
618;4;1;0;1;0.0;0.8;0.0;0.8
622;2;0;1;0;1.0;1.0;1.0;1.0
1138;4;1;0;0;0.0;1.0;;0.8
3701;8;0;1;1;1.0;0.8888888888888888;0.5;1.0
1302;6;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;2;1;0;0;0.0;1.0;;0.6666666666666666
1168;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
1175;7;1;0;0;0.0;1.0;;0.875
668;6;1;0;0;0.0;1.0;;0.8571428571428571
1181;1;1;0;0;0.0;1.0;;0.5
1183;6;0;1;0;1.0;1.0;1.0;1.0
5794;9;1;0;0;0.0;1.0;;0.9
1188;3;0;1;0;1.0;1.0;1.0;1.0
9381;0;1;0;0;0.0;;;0.0
8872;2;1;0;0;0.0;1.0;;0.6666666666666666
1052;9;1;0;0;0.0;1.0;;0.9
1195;0;1;0;0;0.0;;;0.0
1196;3;1;0;3;0.0;0.5;0.0;0.75
1366;9;1;0;0;0.0;1.0;;0.9
181;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;0;1;0;0;0.0;;;0.0
194;4;0;1;0;1.0;1.0;1.0;1.0
1221;0;1;0;0;0.0;;;0.0
1223;10;0;1;0;1.0;1.0;1.0;1.0
1231;6;0;1;0;1.0;1.0;1.0;1.0
9337;1;1;0;0;0.0;1.0;;0.5
1259;8;0;1;0;1.0;1.0;1.0;1.0
1261;0;1;0;1;0.0;0.0;0.0;0.0
9256;7;0;1;2;1.0;0.7777777777777778;0.3333333333333333;1.0
1279;1;1;0;0;0.0;1.0;;0.5
1284;5;0;1;0;1.0;1.0;1.0;1.0
1800;0;0;1;0;1.0;;1.0;
1803;13;1;0;0;0.0;1.0;;0.9285714285714286
1304;5;1;0;3;0.0;0.625;0.0;0.8333333333333334
1317;1;1;0;0;0.0;1.0;;0.5
1320;3;0;1;0;1.0;1.0;1.0;1.0
9519;1;1;0;0;0.0;1.0;;0.5
1337;7;1;0;0;0.0;1.0;;0.875
1851;4;1;0;1;0.0;0.8;0.0;0.8
3909;10;0;1;5;1.0;0.6666666666666666;0.16666666666666666;1.0
3912;3;1;0;0;0.0;1.0;;0.75
6988;1;0;1;0;1.0;1.0;1.0;1.0
11;0;1;0;0;0.0;;;0.0
1875;0;0;1;0;1.0;;1.0;
1934;0;1;0;0;0.0;;;0.0
9046;4;0;1;2;1.0;0.6666666666666666;0.3333333333333333;1.0
858;0;0;1;0;1.0;;1.0;
3940;7;1;0;0;0.0;1.0;;0.875
3944;8;0;1;0;1.0;1.0;1.0;1.0
9065;5;1;0;0;0.0;1.0;;0.8333333333333334
1899;4;1;0;5;0.0;0.4444444444444444;0.0;0.8
1903;0;0;1;0;1.0;;1.0;
369;1;1;0;2;0.0;0.3333333333333333;0.0;0.5
1911;4;1;0;0;0.0;1.0;;0.8
1915;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
1920;0;0;1;0;1.0;;1.0;
398;6;1;0;0;0.0;1.0;;0.8571428571428571
1935;1;1;0;0;0.0;1.0;;0.5
3994;1;1;0;0;0.0;1.0;;0.5
1951;3;0;1;0;1.0;1.0;1.0;1.0
1955;13;1;0;0;0.0;1.0;;0.9285714285714286
9639;0;1;0;0;0.0;;;0.0
430;1;0;1;0;1.0;1.0;1.0;1.0
8635;0;1;0;0;0.0;;;0.0
446;8;0;1;0;1.0;1.0;1.0;1.0
1985;5;0;1;0;1.0;1.0;1.0;1.0
1986;2;0;1;0;1.0;1.0;1.0;1.0
2019;0;0;1;0;1.0;;1.0;
490;1;0;1;0;1.0;1.0;1.0;1.0
3569;0;1;0;0;0.0;;;0.0
3578;9;1;0;1;0.0;0.9;0.0;0.9
