ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;13;0;1;2;1.0;0.8666666666666667;0.3333333333333333;1.0
3591;0;0;1;0;1.0;;1.0;
527;6;1;0;1;0.0;0.8571428571428571;0.0;0.8571428571428571
1045;3;0;1;0;1.0;1.0;1.0;1.0
3620;3;0;1;0;1.0;1.0;1.0;1.0
3621;1;1;0;0;0.0;1.0;;0.5
9774;7;1;0;0;0.0;1.0;;0.875
3632;1;1;0;0;0.0;1.0;;0.5
3635;5;0;1;0;1.0;1.0;1.0;1.0
565;6;1;0;0;0.0;1.0;;0.8571428571428571
9795;2;1;0;0;0.0;1.0;;0.6666666666666666
1092;3;0;1;1;1.0;0.75;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
1099;2;0;1;0;1.0;1.0;1.0;1.0
3661;6;1;0;1;0.0;0.8571428571428571;0.0;0.8571428571428571
83;2;1;0;0;0.0;1.0;;0.6666666666666666
97;0;0;1;0;1.0;;1.0;
3685;1;1;0;0;0.0;1.0;;0.5
9745;0;0;1;0;1.0;;1.0;
1641;0;1;0;0;0.0;;;0.0
618;3;1;0;1;0.0;0.75;0.0;0.75
622;1;0;1;0;1.0;1.0;1.0;1.0
1138;3;1;0;0;0.0;1.0;;0.75
3701;6;0;1;0;1.0;1.0;1.0;1.0
1302;4;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;1;1;0;0;0.0;1.0;;0.5
1168;0;0;1;2;1.0;0.0;0.3333333333333333;
1175;5;1;0;0;0.0;1.0;;0.8333333333333334
668;4;1;0;0;0.0;1.0;;0.8
1181;1;1;0;0;0.0;1.0;;0.5
1183;4;0;1;0;1.0;1.0;1.0;1.0
5794;6;1;0;0;0.0;1.0;;0.8571428571428571
1188;2;0;1;0;1.0;1.0;1.0;1.0
9381;0;1;0;0;0.0;;;0.0
8872;1;1;0;0;0.0;1.0;;0.5
1052;6;1;0;0;0.0;1.0;;0.8571428571428571
1195;0;1;0;0;0.0;;;0.0
1196;1;1;0;3;0.0;0.25;0.0;0.5
1366;6;1;0;0;0.0;1.0;;0.8571428571428571
181;1;0;1;1;1.0;0.5;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;0;1;0;0;0.0;;;0.0
194;3;0;1;0;1.0;1.0;1.0;1.0
1221;0;1;0;0;0.0;;;0.0
1223;7;0;1;0;1.0;1.0;1.0;1.0
1231;4;0;1;0;1.0;1.0;1.0;1.0
9337;0;1;0;0;0.0;;;0.0
1259;5;0;1;0;1.0;1.0;1.0;1.0
1261;1;0;1;0;1.0;1.0;1.0;1.0
9256;4;0;1;2;1.0;0.6666666666666666;0.3333333333333333;1.0
1279;0;1;0;0;0.0;;;0.0
1284;4;0;1;0;1.0;1.0;1.0;1.0
1800;0;0;1;0;1.0;;1.0;
1803;9;1;0;0;0.0;1.0;;0.9
1304;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
1317;1;1;0;0;0.0;1.0;;0.5
1320;2;0;1;0;1.0;1.0;1.0;1.0
9519;1;1;0;0;0.0;1.0;;0.5
1337;5;1;0;0;0.0;1.0;;0.8333333333333334
1851;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
3909;6;0;1;5;1.0;0.5454545454545454;0.16666666666666666;1.0
3912;2;1;0;0;0.0;1.0;;0.6666666666666666
6988;1;0;1;0;1.0;1.0;1.0;1.0
11;0;1;0;0;0.0;;;0.0
1875;0;0;1;0;1.0;;1.0;
1934;0;1;0;0;0.0;;;0.0
9046;3;0;1;1;1.0;0.75;0.5;1.0
858;0;0;1;0;1.0;;1.0;
3940;5;1;0;0;0.0;1.0;;0.8333333333333334
3944;5;0;1;0;1.0;1.0;1.0;1.0
9065;4;1;0;0;0.0;1.0;;0.8
1899;2;1;0;4;0.0;0.3333333333333333;0.0;0.6666666666666666
1903;0;0;1;0;1.0;;1.0;
369;1;1;0;1;0.0;0.5;0.0;0.5
1911;2;1;0;0;0.0;1.0;;0.6666666666666666
1915;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
1920;0;0;1;0;1.0;;1.0;
398;4;1;0;0;0.0;1.0;;0.8
1935;0;1;0;0;0.0;;;0.0
3994;1;1;0;0;0.0;1.0;;0.5
1951;2;0;1;0;1.0;1.0;1.0;1.0
1955;9;1;0;0;0.0;1.0;;0.9
9639;0;1;0;0;0.0;;;0.0
430;0;0;1;0;1.0;;1.0;
8635;0;1;0;0;0.0;;;0.0
446;5;0;1;0;1.0;1.0;1.0;1.0
1985;3;0;1;0;1.0;1.0;1.0;1.0
1986;1;0;1;0;1.0;1.0;1.0;1.0
2019;0;0;1;0;1.0;;1.0;
490;0;0;1;0;1.0;;1.0;
3569;0;1;0;0;0.0;;;0.0
3578;6;1;0;1;0.0;0.8571428571428571;0.0;0.8571428571428571
