ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;21;0;1;2;1.0;0.9130434782608695;0.3333333333333333;1.0
3591;1;0;1;0;1.0;1.0;1.0;1.0
527;10;1;0;1;0.0;0.9090909090909091;0.0;0.9090909090909091
1045;5;0;1;0;1.0;1.0;1.0;1.0
3620;5;0;1;0;1.0;1.0;1.0;1.0
3621;2;1;0;0;0.0;1.0;;0.6666666666666666
9774;10;1;0;0;0.0;1.0;;0.9090909090909091
3632;2;1;0;0;0.0;1.0;;0.6666666666666666
3635;8;0;1;0;1.0;1.0;1.0;1.0
565;9;1;0;0;0.0;1.0;;0.9
9795;4;1;0;0;0.0;1.0;;0.8
1092;5;0;1;1;1.0;0.8333333333333334;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
1099;3;0;1;0;1.0;1.0;1.0;1.0
3661;9;1;0;1;0.0;0.9;0.0;0.9
83;3;1;0;0;0.0;1.0;;0.75
97;0;0;1;0;1.0;;1.0;
3685;2;1;0;0;0.0;1.0;;0.6666666666666666
9745;0;0;1;0;1.0;;1.0;
1641;0;1;0;0;0.0;;;0.0
618;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
622;2;0;1;0;1.0;1.0;1.0;1.0
1138;4;1;0;0;0.0;1.0;;0.8
3701;9;0;1;1;1.0;0.9;0.5;1.0
1302;7;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;2;1;0;0;0.0;1.0;;0.6666666666666666
1168;1;0;1;3;1.0;0.25;0.25;1.0
1175;8;1;0;0;0.0;1.0;;0.8888888888888888
668;7;1;0;0;0.0;1.0;;0.875
1181;1;1;0;0;0.0;1.0;;0.5
1183;7;0;1;0;1.0;1.0;1.0;1.0
5794;10;1;0;0;0.0;1.0;;0.9090909090909091
1188;3;0;1;0;1.0;1.0;1.0;1.0
9381;0;1;0;0;0.0;;;0.0
8872;2;1;0;0;0.0;1.0;;0.6666666666666666
1052;10;1;0;0;0.0;1.0;;0.9090909090909091
1195;0;1;0;0;0.0;;;0.0
1196;4;1;0;3;0.0;0.5714285714285714;0.0;0.8
1366;10;1;0;0;0.0;1.0;;0.9090909090909091
181;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;1;1;0;0;0.0;1.0;;0.5
194;4;0;1;0;1.0;1.0;1.0;1.0
1221;0;1;0;0;0.0;;;0.0
1223;11;0;1;0;1.0;1.0;1.0;1.0
1231;7;0;1;0;1.0;1.0;1.0;1.0
9337;1;1;0;0;0.0;1.0;;0.5
1259;9;0;1;0;1.0;1.0;1.0;1.0
1261;0;1;0;1;0.0;0.0;0.0;0.0
9256;8;0;1;2;1.0;0.8;0.3333333333333333;1.0
1279;1;1;0;0;0.0;1.0;;0.5
1284;6;0;1;0;1.0;1.0;1.0;1.0
1800;0;0;1;0;1.0;;1.0;
1803;14;1;0;0;0.0;1.0;;0.9333333333333333
1304;6;1;0;3;0.0;0.6666666666666666;0.0;0.8571428571428571
1317;2;1;0;0;0.0;1.0;;0.6666666666666666
1320;3;0;1;0;1.0;1.0;1.0;1.0
9519;1;1;0;0;0.0;1.0;;0.5
1337;8;1;0;0;0.0;1.0;;0.8888888888888888
1851;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
3909;11;0;1;6;1.0;0.6470588235294118;0.14285714285714285;1.0
3912;4;1;0;0;0.0;1.0;;0.8
6988;1;0;1;0;1.0;1.0;1.0;1.0
11;0;1;0;0;0.0;;;0.0
1875;0;0;1;0;1.0;;1.0;
1934;0;1;0;0;0.0;;;0.0
9046;5;0;1;2;1.0;0.7142857142857143;0.3333333333333333;1.0
858;0;0;1;0;1.0;;1.0;
3940;7;1;0;0;0.0;1.0;;0.875
3944;8;0;1;0;1.0;1.0;1.0;1.0
9065;6;1;0;0;0.0;1.0;;0.8571428571428571
1899;4;1;0;6;0.0;0.4;0.0;0.8
1903;0;0;1;0;1.0;;1.0;
369;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
1911;4;1;0;0;0.0;1.0;;0.8
1915;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
1920;0;0;1;0;1.0;;1.0;
398;7;1;0;0;0.0;1.0;;0.875
1935;1;1;0;0;0.0;1.0;;0.5
3994;1;1;0;0;0.0;1.0;;0.5
1951;3;0;1;0;1.0;1.0;1.0;1.0
1955;14;1;0;0;0.0;1.0;;0.9333333333333333
9639;0;1;0;0;0.0;;;0.0
430;1;0;1;0;1.0;1.0;1.0;1.0
8635;0;1;0;0;0.0;;;0.0
446;9;0;1;0;1.0;1.0;1.0;1.0
1985;5;0;1;0;1.0;1.0;1.0;1.0
1986;2;0;1;0;1.0;1.0;1.0;1.0
2019;0;0;1;0;1.0;;1.0;
490;1;0;1;0;1.0;1.0;1.0;1.0
3569;0;1;0;0;0.0;;;0.0
3578;9;1;0;2;0.0;0.8181818181818182;0.0;0.9
