Event Score;Anzahl erster Events zuvor;Anzahl erster Events danach;Anzahl pro Stunde;Anzahl pro Stunde
1;12;8;0,0023752890759795617;0,0054929335698346415
2;59;14;0,011678504623566177;0,009612633747210622
3;25;6;0,004948518908290753;0,004119700177375981
4;18;6;0,0035629336139693423;0,004119700177375981
5;7;1;0,001385585294321411;0,0006866166962293302
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;0;1;0,0;0,0006866166962293302
