ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;211;1;0;4;0.0;0.9813953488372092;0.0;0.9952830188679245
3591;7;1;0;2;0.0;0.7777777777777778;0.0;0.875
527;97;1;0;2;0.0;0.9797979797979798;0.0;0.9897959183673469
1045;53;0;1;0;1.0;1.0;1.0;1.0
3620;44;1;0;2;0.0;0.9565217391304348;0.0;0.9777777777777777
3621;25;1;0;0;0.0;1.0;;0.9615384615384616
9774;97;0;1;1;1.0;0.9897959183673469;0.5;1.0
3632;19;1;0;0;0.0;1.0;;0.95
3635;75;1;0;1;0.0;0.9868421052631579;0.0;0.9868421052631579
565;86;1;0;0;0.0;1.0;;0.9885057471264368
9795;40;0;1;0;1.0;1.0;1.0;1.0
1092;56;1;0;3;0.0;0.9491525423728814;0.0;0.9824561403508771
1093;3;1;0;1;0.0;0.75;0.0;0.75
1099;32;1;0;1;0.0;0.9696969696969697;0.0;0.9696969696969697
3661;97;1;0;1;0.0;0.9897959183673469;0.0;0.9897959183673469
83;28;1;0;1;0.0;0.9655172413793104;0.0;0.9655172413793104
97;4;1;0;1;0.0;0.8;0.0;0.8
3685;26;0;1;0;1.0;1.0;1.0;1.0
9745;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
1641;1;0;1;0;1.0;1.0;1.0;1.0
618;54;1;0;2;0.0;0.9642857142857143;0.0;0.9818181818181818
622;19;1;0;1;0.0;0.95;0.0;0.95
1138;43;1;0;0;0.0;1.0;;0.9772727272727273
3701;93;1;0;4;0.0;0.9587628865979382;0.0;0.9893617021276596
1302;62;1;0;1;0.0;0.9841269841269841;0.0;0.9841269841269841
1164;14;1;0;1;0.0;0.9333333333333333;0.0;0.9333333333333333
141;15;1;0;2;0.0;0.8823529411764706;0.0;0.9375
9870;5;1;0;1;0.0;0.8333333333333334;0.0;0.8333333333333334
1897;22;1;0;0;0.0;1.0;;0.9565217391304348
1168;35;1;0;5;0.0;0.875;0.0;0.9722222222222222
1175;74;1;0;0;0.0;1.0;;0.9866666666666667
668;67;1;0;0;0.0;1.0;;0.9852941176470589
1181;17;0;1;0;1.0;1.0;1.0;1.0
1183;63;1;0;4;0.0;0.9402985074626866;0.0;0.984375
5794;91;1;0;0;0.0;1.0;;0.9891304347826086
1188;31;1;0;2;0.0;0.9393939393939394;0.0;0.96875
9381;5;1;0;0;0.0;1.0;;0.8333333333333334
8872;21;0;1;4;1.0;0.84;0.2;1.0
1052;96;0;1;0;1.0;1.0;1.0;1.0
1195;1;1;0;0;0.0;1.0;;0.5
1196;59;1;0;4;0.0;0.9365079365079365;0.0;0.9833333333333333
1366;95;1;0;1;0.0;0.9895833333333334;0.0;0.9895833333333334
181;27;1;0;3;0.0;0.9;0.0;0.9642857142857143
1796;1;1;0;1;0.0;0.5;0.0;0.5
3768;9;0;1;0;1.0;1.0;1.0;1.0
194;39;1;0;3;0.0;0.9285714285714286;0.0;0.975
1221;8;1;0;0;0.0;1.0;;0.8888888888888888
1223;102;1;0;2;0.0;0.9807692307692307;0.0;0.9902912621359223
1231;61;1;0;6;0.0;0.9104477611940298;0.0;0.9838709677419355
9337;12;0;1;1;1.0;0.9230769230769231;0.5;1.0
1259;79;1;0;2;0.0;0.9753086419753086;0.0;0.9875
1261;13;0;1;1;1.0;0.9285714285714286;0.5;1.0
9256;91;0;1;6;1.0;0.9381443298969072;0.14285714285714285;1.0
1279;8;1;0;2;0.0;0.8;0.0;0.8888888888888888
1284;55;1;0;3;0.0;0.9482758620689655;0.0;0.9821428571428571
1800;1;1;0;1;0.0;0.5;0.0;0.5
1803;131;0;1;0;1.0;1.0;1.0;1.0
1304;73;1;0;9;0.0;0.8902439024390244;0.0;0.9864864864864865
1317;18;1;0;0;0.0;1.0;;0.9473684210526315
1320;32;1;0;3;0.0;0.9142857142857143;0.0;0.9696969696969697
9519;14;1;0;0;0.0;1.0;;0.9333333333333333
1337;71;1;0;3;0.0;0.9594594594594594;0.0;0.9861111111111112
1851;52;0;1;2;1.0;0.9629629629629629;0.3333333333333333;1.0
3909;147;1;0;10;0.0;0.9363057324840764;0.0;0.9932432432432432
3912;35;1;0;1;0.0;0.9722222222222222;0.0;0.9722222222222222
6988;14;1;0;1;0.0;0.9333333333333333;0.0;0.9333333333333333
11;4;0;1;0;1.0;1.0;1.0;1.0
1875;8;1;0;0;0.0;1.0;;0.8888888888888888
1934;0;1;0;1;0.0;0.0;0.0;0.0
9046;62;1;0;4;0.0;0.9393939393939394;0.0;0.9841269841269841
858;5;1;0;2;0.0;0.7142857142857143;0.0;0.8333333333333334
3940;70;1;0;0;0.0;1.0;;0.9859154929577465
3944;76;1;0;4;0.0;0.95;0.0;0.987012987012987
9065;59;1;0;0;0.0;1.0;;0.9833333333333333
1899;86;1;0;11;0.0;0.8865979381443299;0.0;0.9885057471264368
1903;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
369;30;1;0;3;0.0;0.9090909090909091;0.0;0.967741935483871
1911;39;1;0;1;0.0;0.975;0.0;0.975
1915;43;1;0;5;0.0;0.8958333333333334;0.0;0.9772727272727273
1920;2;1;0;1;0.0;0.6666666666666666;0.0;0.6666666666666666
398;65;1;0;1;0.0;0.9848484848484849;0.0;0.9848484848484849
1935;9;1;0;1;0.0;0.9;0.0;0.9
3994;14;0;1;0;1.0;1.0;1.0;1.0
1951;30;1;0;3;0.0;0.9090909090909091;0.0;0.967741935483871
1955;130;0;1;1;1.0;0.9923664122137404;0.5;1.0
9639;6;1;0;0;0.0;1.0;;0.8571428571428571
430;11;1;0;1;0.0;0.9166666666666666;0.0;0.9166666666666666
8635;3;1;0;1;0.0;0.75;0.0;0.75
