Event Score;Anzahl erster Events zuvor;Anzahl erster Events danach;Anzahl pro Stunde;Anzahl pro Stunde
1;3;2;0,003425961172440045;0,004714386736858646
2;4;0;0,00456794822992006;0,0
3;4;2;0,00456794822992006;0,004714386736858646
4;2;5;0,00228397411496003;0,011785966842146615
5;1;0;0,001141987057480015;0,0
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;0;0;0,0;0,0
