ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
2566;0;1;0;0;0.0;;;0.0
2571;0;1;0;0;0.0;;;0.0
2576;6;0;1;0;1.0;1.0;1.0;1.0
2578;1;1;0;1;0.0;0.5;0.0;0.5
2595;7;0;1;0;1.0;1.0;1.0;1.0
2621;9;1;0;1;0.0;0.9;0.0;0.9
2625;13;0;1;0;1.0;1.0;1.0;1.0
2630;3;1;0;0;0.0;1.0;;0.75
2633;1;0;1;1;1.0;0.5;0.5;1.0
2636;0;1;0;0;0.0;;;0.0
2639;6;0;1;1;1.0;0.8571428571428571;0.5;1.0
2641;10;0;1;6;1.0;0.625;0.14285714285714285;1.0
2650;0;1;0;0;0.0;;;0.0
2658;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
2581;1;0;1;0;1.0;1.0;1.0;1.0
2545;2;1;0;0;0.0;1.0;;0.6666666666666666
2712;2;0;1;0;1.0;1.0;1.0;1.0
2737;1;1;0;0;0.0;1.0;;0.5
2747;1;0;1;1;1.0;0.5;0.5;1.0
2596;1;1;0;0;0.0;1.0;;0.5
2601;1;0;1;0;1.0;1.0;1.0;1.0
2728;7;0;1;2;1.0;0.7777777777777778;0.3333333333333333;1.0
2558;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
