ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;17;0;1;2;1.0;0.8947368421052632;0.3333333333333333;1.0
2566;0;1;0;0;0.0;;;0.0
3591;0;0;1;0;1.0;;1.0;
2571;0;1;0;0;0.0;;;0.0
527;8;1;0;1;0.0;0.8888888888888888;0.0;0.8888888888888888
2576;7;0;1;0;1.0;1.0;1.0;1.0
2578;1;1;0;1;0.0;0.5;0.0;0.5
1045;4;0;1;0;1.0;1.0;1.0;1.0
2595;8;0;1;0;1.0;1.0;1.0;1.0
3620;4;0;1;0;1.0;1.0;1.0;1.0
3621;2;1;0;0;0.0;1.0;;0.6666666666666666
9774;8;1;0;0;0.0;1.0;;0.8888888888888888
3632;1;1;0;0;0.0;1.0;;0.5
3635;6;0;1;0;1.0;1.0;1.0;1.0
565;7;1;0;0;0.0;1.0;;0.875
2621;11;1;0;1;0.0;0.9166666666666666;0.0;0.9166666666666666
2625;16;0;1;0;1.0;1.0;1.0;1.0
9795;3;1;0;0;0.0;1.0;;0.75
1092;4;0;1;1;1.0;0.8;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
2630;4;1;0;0;0.0;1.0;;0.8
2633;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1099;3;0;1;0;1.0;1.0;1.0;1.0
2636;0;1;0;0;0.0;;;0.0
3661;7;1;0;1;0.0;0.875;0.0;0.875
2639;7;0;1;1;1.0;0.875;0.5;1.0
2641;12;0;1;7;1.0;0.631578947368421;0.125;1.0
83;2;1;0;0;0.0;1.0;;0.6666666666666666
2650;0;1;0;0;0.0;;;0.0
97;0;0;1;0;1.0;;1.0;
2658;2;0;1;2;1.0;0.5;0.3333333333333333;1.0
3685;2;1;0;0;0.0;1.0;;0.6666666666666666
9745;0;0;1;0;1.0;;1.0;
1641;0;1;0;0;0.0;;;0.0
618;4;1;0;1;0.0;0.8;0.0;0.8
622;1;0;1;0;1.0;1.0;1.0;1.0
1138;3;1;0;0;0.0;1.0;;0.75
3701;7;0;1;1;1.0;0.875;0.5;1.0
2581;1;0;1;0;1.0;1.0;1.0;1.0
1302;5;0;1;0;1.0;1.0;1.0;1.0
1164;1;0;1;0;1.0;1.0;1.0;1.0
141;1;0;1;0;1.0;1.0;1.0;1.0
9870;0;0;1;0;1.0;;1.0;
1897;2;1;0;0;0.0;1.0;;0.6666666666666666
1168;1;0;1;2;1.0;0.3333333333333333;0.3333333333333333;1.0
2545;2;1;0;0;0.0;1.0;;0.6666666666666666
1175;6;1;0;0;0.0;1.0;;0.8571428571428571
2712;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
668;6;1;0;0;0.0;1.0;;0.8571428571428571
1181;1;1;0;0;0.0;1.0;;0.5
1183;6;0;1;0;1.0;1.0;1.0;1.0
5794;8;1;0;0;0.0;1.0;;0.8888888888888888
1188;3;0;1;0;1.0;1.0;1.0;1.0
9381;0;1;0;0;0.0;;;0.0
8872;2;1;0;0;0.0;1.0;;0.6666666666666666
1052;8;1;0;0;0.0;1.0;;0.8888888888888888
1195;0;1;0;0;0.0;;;0.0
1196;2;1;0;3;0.0;0.4;0.0;0.6666666666666666
1366;8;1;0;0;0.0;1.0;;0.8888888888888888
2737;1;1;0;0;0.0;1.0;;0.5
181;1;0;1;1;1.0;0.5;0.5;1.0
1796;0;0;1;0;1.0;;1.0;
3768;0;1;0;0;0.0;;;0.0
2747;0;0;1;2;1.0;0.0;0.3333333333333333;
194;3;0;1;0;1.0;1.0;1.0;1.0
1221;0;1;0;0;0.0;;;0.0
1223;9;0;1;0;1.0;1.0;1.0;1.0
1231;6;0;1;0;1.0;1.0;1.0;1.0
9337;1;1;0;0;0.0;1.0;;0.5
2596;1;1;0;0;0.0;1.0;;0.5
1259;7;0;1;0;1.0;1.0;1.0;1.0
