Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Alarm Qualitaet;Alarm Zeitpunkt;Umstallzeit;Zeitraum Alarm-Umstallzeit [h]
2641;Faerse;ja;HA1h;2017-11-02 16:37:00;2017-11-09 04:30:00;155,88333333333333
2641;Faerse;ja;HA1h;2017-11-02 18:43:00;2017-11-09 04:30:00;153,78333333333333
2641;Faerse;ja;HA1h;2017-11-03 06:35:00;2017-11-09 04:30:00;141,91666666666666
2641;Faerse;ja;HA1h;2017-11-03 10:21:00;2017-11-09 04:30:00;138,15
2641;Faerse;ja;HA1h;2017-11-05 11:26:00;2017-11-09 04:30:00;89,06666666666666
2641;Faerse;ja;HA1h;2017-10-22 19:48:00;2017-11-09 04:30:00;416,7
2641;Faerse;ja;HA1h;2017-10-25 09:53:00;2017-11-09 04:30:00;354,6166666666667
2641;Faerse;ja;HA1h;2017-11-09 01:41:00;2017-11-09 04:30:00;2,816666666666667
2641;Faerse;ja;HA1h;2017-10-24 11:13:00;2017-11-09 04:30:00;377,28333333333336
2641;Faerse;ja;HA1h;2017-10-28 06:02:00;2017-11-09 04:30:00;286,46666666666664
2641;Faerse;ja;HA1h;2017-10-28 22:08:00;2017-11-09 04:30:00;270,3666666666667
2641;Faerse;ja;HA1h;2017-10-29 13:59:00;2017-11-09 04:30:00;254,51666666666668
2641;Faerse;ja;HA1h;2017-10-29 22:47:00;2017-11-09 04:30:00;245,71666666666667
2641;Faerse;ja;HA1h;2017-10-30 07:07:00;2017-11-09 04:30:00;237,38333333333333
2641;Faerse;ja;HA1h;2017-10-30 11:36:00;2017-11-09 04:30:00;232,9
2641;Faerse;ja;HA2h;2017-11-03 11:21:00;2017-11-09 04:30:00;137,15
2641;Faerse;ja;HA2h;2017-11-03 16:10:00;2017-11-09 04:30:00;132,33333333333334
2641;Faerse;ja;HA2h;2017-11-03 22:44:00;2017-11-09 04:30:00;125,76666666666667
2641;Faerse;ja;HA2h;2017-10-25 10:53:00;2017-11-09 04:30:00;353,6166666666667
2641;Faerse;ja;HA2h;2017-11-09 02:41:00;2017-11-09 04:30:00;1,8166666666666667
2641;Faerse;ja;HA2h;2017-10-24 12:12:00;2017-11-09 04:30:00;376,3
2641;Faerse;ja;HA2h;2017-10-29 14:57:00;2017-11-09 04:30:00;253,55
2641;Faerse;ja;HA2h;2017-10-29 23:46:00;2017-11-09 04:30:00;244,73333333333332
2641;Faerse;ja;HA2h;2017-10-30 12:23:00;2017-11-09 04:30:00;232,11666666666667
83;Kuh;ja;HA1h;2017-10-12 10:21:00;2017-10-12 10:20:00;-0,016666666666666666
83;Kuh;ja;HA1h;2017-10-10 22:09:00;2017-10-12 10:20:00;36,18333333333333
2645;Kuh;nein;HA1h;2017-11-11 03:35:00;;
2645;Kuh;nein;HA1h;2017-11-10 06:00:00;;
2645;Kuh;nein;HA1h;2017-11-10 10:55:00;;
2645;Kuh;nein;HA2h;2017-11-11 04:35:00;;
2645;Kuh;nein;HA2h;2017-11-10 07:00:00;;
2645;Kuh;nein;HA2h;2017-11-10 11:55:00;;
2650;Faerse;ja;HA1h;2017-11-11 07:49:00;2017-11-11 08:30:00;0,6833333333333333
2650;Faerse;ja;HA2h;2017-11-11 08:49:00;2017-11-11 08:30:00;-0,31666666666666665
97;Kuh;ja;HA1h;2017-11-11 03:40:00;2017-11-11 06:30:00;2,8333333333333335
97;Kuh;ja;HA2h;2017-11-11 04:40:00;2017-11-11 06:30:00;1,8333333333333333
2658;Faerse;ja;HA1h;2017-11-07 00:34:00;2017-11-09 11:30:00;58,93333333333333
2658;Faerse;ja;HA1h;2017-11-07 11:07:00;2017-11-09 11:30:00;48,38333333333333
2658;Faerse;ja;HA1h;2017-11-08 15:01:00;2017-11-09 11:30:00;20,483333333333334
2658;Faerse;ja;HA1h;2017-11-09 06:01:00;2017-11-09 11:30:00;5,483333333333333
2658;Faerse;ja;HA1h;2017-11-09 10:22:00;2017-11-09 11:30:00;1,1333333333333333
2658;Faerse;ja;HA2h;2017-11-07 01:34:00;2017-11-09 11:30:00;57,93333333333333
2658;Faerse;ja;HA2h;2017-11-08 16:01:00;2017-11-09 11:30:00;19,483333333333334
2658;Faerse;ja;HA2h;2017-11-09 07:01:00;2017-11-09 11:30:00;4,483333333333333
2658;Faerse;ja;HA2h;2017-11-09 11:22:00;2017-11-09 11:30:00;0,13333333333333333
3685;Kuh;ja;HA1h;2017-12-16 15:35:00;2017-12-16 16:30:00;0,9166666666666666
3685;Kuh;ja;HA2h;2017-12-16 16:34:00;2017-12-16 16:30:00;-0,06666666666666667
9745;Kuh;ja;HA1h;2017-10-03 01:40:00;2017-10-03 03:30:00;1,8333333333333333
9745;Kuh;ja;HA2h;2017-10-03 02:28:00;2017-10-03 03:30:00;1,0333333333333334
1641;Kuh;ja;HA1h;2017-10-08 21:27:00;2017-10-08 21:30:00;0,05
1641;Kuh;ja;HA2h;2017-10-08 22:16:00;2017-10-08 21:30:00;-0,7666666666666667
618;Kuh;ja;HA1h;2017-10-25 03:17:00;2017-10-27 23:30:00;68,21666666666667
618;Kuh;ja;HA1h;2017-10-25 10:42:00;2017-10-27 23:30:00;60,8
618;Kuh;ja;HA2h;2017-10-25 11:42:00;2017-10-27 23:30:00;59,8
108;Kuh;nein;HA1h;2017-10-08 23:41:00;;
108;Kuh;nein;HA1h;2017-10-08 05:51:00;;
108;Kuh;nein;HA1h;2017-10-08 16:24:00;;
108;Kuh;nein;HA1h;2017-10-06 10:23:00;;
108;Kuh;nein;HA2h;2017-10-08 17:23:00;;
108;Kuh;nein;HA2h;2017-10-06 10:59:00;;
622;Kuh;ja;HA1h;2017-10-06 17:38:00;2017-10-06 19:30:00;1,8666666666666667
622;Kuh;ja;HA2h;2017-10-06 18:38:00;2017-10-06 19:30:00;0,8666666666666667
1138;Kuh;ja;HA1h;2017-10-14 07:46:00;2017-10-14 07:35:00;-0,18333333333333332
1138;Kuh;ja;HA2h;2017-10-14 08:46:00;2017-10-14 07:35:00;-1,1833333333333333
3701;Kuh;ja;HA1h;2017-10-13 18:36:00;2017-10-14 09:30:00;14,9
3701;Kuh;ja;HA1h;2017-10-14 00:38:00;2017-10-14 09:30:00;8,866666666666667
3701;Kuh;ja;HA1h;2017-10-14 05:29:00;2017-10-14 09:30:00;4,016666666666667
3701;Kuh;ja;HA1h;2017-10-11 11:16:00;2017-10-14 09:30:00;70,23333333333333
3701;Kuh;ja;HA2h;2017-10-13 19:35:00;2017-10-14 09:30:00;13,916666666666666
3701;Kuh;ja;HA2h;2017-10-14 03:22:00;2017-10-14 09:30:00;6,133333333333334
3701;Kuh;ja;HA2h;2017-10-14 06:41:00;2017-10-14 09:30:00;2,816666666666667
1145;Kuh;nein;HA1h;2017-10-04 09:18:00;;
1145;Kuh;nein;HA1h;2017-10-04 11:34:00;;
1145;Kuh;nein;HA1h;2017-10-04 22:15:00;;
1145;Kuh;nein;HA1h;2017-10-05 03:57:00;;
1145;Kuh;nein;HA1h;2017-10-01 12:53:00;;
1145;Kuh;nein;HA1h;2017-10-02 07:00:00;;
1145;Kuh;nein;HA1h;2017-10-02 15:25:00;;
1145;Kuh;nein;HA1h;2017-10-02 20:27:00;;
1145;Kuh;nein;HA2h;2017-10-05 04:56:00;;
1145;Kuh;nein;HA2h;2017-10-01 13:42:00;;
1145;Kuh;nein;HA2h;2017-10-02 07:59:00;;
1145;Kuh;nein;HA2h;2017-10-02 16:24:00;;
2581;Faerse;ja;HA1h;2017-10-10 08:21:00;2017-10-10 12:40:00;4,316666666666666
2581;Faerse;ja;HA1h;2017-10-10 12:28:00;2017-10-10 12:40:00;0,2
2581;Faerse;ja;HA2h;2017-10-10 09:21:00;2017-10-10 12:40:00;3,316666666666667
2581;Faerse;ja;HA2h;2017-10-10 13:51:00;2017-10-10 12:40:00;-1,1833333333333333
1302;Kuh;ja;HA1h;2017-10-21 12:47:00;2017-10-21 15:30:00;2,716666666666667
1302;Kuh;ja;HA2h;2017-10-21 13:47:00;2017-10-21 15:30:00;1,7166666666666666
1164;Kuh;ja;HA1h;2017-10-18 13:03:00;2017-10-18 16:30:00;3,45
1164;Kuh;ja;HA2h;2017-10-18 14:02:00;2017-10-18 16:30:00;2,466666666666667
141;Kuh;ja;HA1h;2017-10-17 08:45:00;2017-10-21 09:00:00;96,25
141;Kuh;ja;HA1h;2017-10-21 07:40:00;2017-10-21 09:00:00;1,3333333333333333
141;Kuh;ja;HA2h;2017-10-21 08:40:00;2017-10-21 09:00:00;0,3333333333333333
9870;Kuh;ja;HA1h;2017-10-21 19:31:00;2017-10-21 21:30:00;1,9833333333333334
9870;Kuh;ja;HA2h;2017-10-21 20:31:00;2017-10-21 21:30:00;0,9833333333333333
1897;Kuh;ja;HA1h;2017-10-17 22:35:00;2017-10-17 22:30:00;-0,08333333333333333
1897;Kuh;ja;HA2h;2017-10-17 23:34:00;2017-10-17 22:30:00;-1,0666666666666667
1168;Kuh;ja;HA1h;2017-10-30 04:18:00;2017-10-31 19:40:00;39,36666666666667
1168;Kuh;ja;HA1h;2017-10-30 10:58:00;2017-10-31 19:40:00;32,7
1168;Kuh;ja;HA1h;2017-10-31 00:30:00;2017-10-31 19:40:00;19,166666666666668
1168;Kuh;ja;HA1h;2017-10-31 09:19:00;2017-10-31 19:40:00;10,35
1168;Kuh;ja;HA1h;2017-10-31 16:49:00;2017-10-31 19:40:00;2,85
1168;Kuh;ja;HA2h;2017-10-30 05:18:00;2017-10-31 19:40:00;38,36666666666667
1168;Kuh;ja;HA2h;2017-10-30 12:10:00;2017-10-31 19:40:00;31,5
1168;Kuh;ja;HA2h;2017-10-31 01:30:00;2017-10-31 19:40:00;18,166666666666668
1168;Kuh;ja;HA2h;2017-10-31 17:49:00;2017-10-31 19:40:00;1,85
2545;Faerse;ja;HA1h;2017-09-30 20:01:00;2017-09-30 20:30:00;0,48333333333333334
2545;Faerse;ja;HA2h;2017-09-30 21:00:00;2017-09-30 20:30:00;-0,5
2712;Faerse;ja;HA1h;2017-12-16 10:05:00;2017-12-16 23:30:00;13,416666666666666
2712;Faerse;ja;HA1h;2017-12-16 21:31:00;2017-12-16 23:30:00;1,9833333333333334
2712;Faerse;ja;HA2h;2017-12-16 11:05:00;2017-12-16 23:30:00;12,416666666666666
2712;Faerse;ja;HA2h;2017-12-16 22:31:00;2017-12-16 23:30:00;0,9833333333333333
1181;Kuh;ja;HA1h;2017-10-23 17:01:00;2017-10-23 18:00:00;0,9833333333333333
1181;Kuh;ja;HA2h;2017-10-23 18:01:00;2017-10-23 18:00:00;-0,016666666666666666
1183;Kuh;ja;HA1h;2017-10-03 10:15:00;2017-10-05 01:30:00;39,25
1183;Kuh;ja;HA1h;2017-10-03 12:48:00;2017-10-05 01:30:00;36,7
1183;Kuh;ja;HA1h;2017-10-04 01:10:00;2017-10-05 01:30:00;24,333333333333332
1183;Kuh;ja;HA1h;2017-10-04 04:47:00;2017-10-05 01:30:00;20,716666666666665
1183;Kuh;ja;HA1h;2017-10-04 22:55:00;2017-10-05 01:30:00;2,5833333333333335
1183;Kuh;ja;HA2h;2017-10-04 23:55:00;2017-10-05 01:30:00;1,5833333333333333
5794;Kuh;ja;HA1h;2017-12-20 09:45:00;2017-12-20 08:30:00;-1,25
1188;Kuh;ja;HA1h;2017-10-01 08:05:00;2017-10-03 12:30:00;52,416666666666664
1188;Kuh;ja;HA1h;2017-10-03 10:44:00;2017-10-03 12:30:00;1,7666666666666666
1188;Kuh;ja;HA2h;2017-10-03 11:31:00;2017-10-03 12:30:00;0,9833333333333333
9381;Kuh;ja;HA1h;2017-12-20 14:39:00;2017-12-20 14:30:00;-0,15
9381;Kuh;ja;HA2h;2017-12-20 15:39:00;2017-12-20 14:30:00;-1,15
8872;Kuh;ja;HA1h;2017-10-08 04:24:00;2017-10-09 23:30:00;43,1
8872;Kuh;ja;HA1h;2017-10-08 09:42:00;2017-10-09 23:30:00;37,8
8872;Kuh;ja;HA1h;2017-10-09 14:57:00;2017-10-09 23:30:00;8,55
8872;Kuh;ja;HA1h;2017-10-09 20:40:00;2017-10-09 23:30:00;2,8333333333333335
8872;Kuh;ja;HA1h;2017-10-09 22:36:00;2017-10-09 23:30:00;0,9
8872;Kuh;ja;HA2h;2017-10-09 23:36:00;2017-10-09 23:30:00;-0,1
1196;Kuh;ja;HA1h;2017-11-03 08:18:00;2017-11-05 02:30:00;42,2
1196;Kuh;ja;HA1h;2017-11-03 12:37:00;2017-11-05 02:30:00;37,88333333333333
1196;Kuh;ja;HA1h;2017-11-04 01:01:00;2017-11-05 02:30:00;25,483333333333334
1196;Kuh;ja;HA1h;2017-11-02 08:19:00;2017-11-05 02:30:00;66,18333333333334
1196;Kuh;ja;HA2h;2017-11-03 09:17:00;2017-11-05 02:30:00;41,21666666666667
1196;Kuh;ja;HA2h;2017-11-03 13:36:00;2017-11-05 02:30:00;36,9
1196;Kuh;ja;HA2h;2017-11-04 02:00:00;2017-11-05 02:30:00;24,5
1196;Kuh;ja;HA2h;2017-11-02 09:19:00;2017-11-05 02:30:00;65,18333333333334
1366;Kuh;ja;HA1h;2017-12-18 02:12:00;2017-12-19 18:30:00;40,3
1366;Kuh;ja;HA1h;2017-12-19 19:19:00;2017-12-19 18:30:00;-0,8166666666666667
1366;Kuh;ja;HA2h;2017-12-19 19:26:00;2017-12-19 18:30:00;-0,9333333333333333
2737;Faerse;ja;HA1h;2017-12-21 08:42:00;2017-12-21 12:38:00;3,933333333333333
2737;Faerse;ja;HA2h;2017-12-21 09:42:00;2017-12-21 12:38:00;2,933333333333333
181;Kuh;ja;HA1h;2017-10-13 19:26:00;2017-10-15 07:00:00;35,56666666666667
181;Kuh;ja;HA1h;2017-10-14 18:52:00;2017-10-15 07:00:00;12,133333333333333
181;Kuh;ja;HA1h;2017-10-15 04:25:00;2017-10-15 07:00:00;2,5833333333333335
181;Kuh;ja;HA1h;2017-10-15 08:29:00;2017-10-15 07:00:00;-1,4833333333333334
181;Kuh;ja;HA2h;2017-10-13 20:25:00;2017-10-15 07:00:00;34,583333333333336
181;Kuh;ja;HA2h;2017-10-15 05:24:00;2017-10-15 07:00:00;1,6
181;Kuh;ja;HA2h;2017-10-15 09:28:00;2017-10-15 07:00:00;-2,466666666666667
1796;Kuh;ja;HA1h;2017-09-29 17:36:00;2017-09-29 18:40:00;1,0666666666666667
1796;Kuh;ja;HA2h;2017-09-29 18:36:00;2017-09-29 18:40:00;0,06666666666666667
3768;Kuh;ja;HA1h;2017-12-18 05:53:00;2017-12-18 06:30:00;0,6166666666666667
3768;Kuh;ja;HA2h;2017-12-18 06:52:00;2017-12-18 06:30:00;-0,36666666666666664
2747;Faerse;ja;HA1h;2017-12-20 08:50:00;2017-12-21 10:30:00;25,666666666666668
2747;Faerse;ja;HA1h;2017-12-20 13:00:00;2017-12-21 10:30:00;21,5
2747;Faerse;ja;HA1h;2017-12-20 22:33:00;2017-12-21 10:30:00;11,95
2747;Faerse;ja;HA1h;2017-12-21 03:50:00;2017-12-21 10:30:00;6,666666666666667
2747;Faerse;ja;HA2h;2017-12-20 09:50:00;2017-12-21 10:30:00;24,666666666666668
2747;Faerse;ja;HA2h;2017-12-20 14:00:00;2017-12-21 10:30:00;20,5
2747;Faerse;ja;HA2h;2017-12-20 23:33:00;2017-12-21 10:30:00;10,95
2747;Faerse;ja;HA2h;2017-12-21 05:02:00;2017-12-21 10:30:00;5,466666666666667
194;Kuh;ja;HA1h;2017-10-26 22:37:00;2017-10-27 01:10:00;2,55
194;Kuh;ja;HA1h;2017-10-25 03:14:00;2017-10-27 01:10:00;45,93333333333333
194;Kuh;ja;HA1h;2017-10-22 06:13:00;2017-10-27 01:10:00;114,95
194;Kuh;ja;HA2h;2017-10-26 23:37:00;2017-10-27 01:10:00;1,55
1221;Kuh;ja;HA1h;2017-10-26 20:35:00;2017-10-26 20:30:00;-0,08333333333333333
1221;Kuh;ja;HA2h;2017-10-26 21:34:00;2017-10-26 20:30:00;-1,0666666666666667
1223;Kuh;ja;HA1h;2017-10-24 13:09:00;2017-10-26 05:30:00;40,35
1223;Kuh;ja;HA1h;2017-10-26 01:08:00;2017-10-26 05:30:00;4,366666666666666
1223;Kuh;ja;HA1h;2017-10-26 04:08:00;2017-10-26 05:30:00;1,3666666666666667
1223;Kuh;ja;HA1h;2017-10-26 06:18:00;2017-10-26 05:30:00;-0,8
1223;Kuh;ja;HA2h;2017-10-26 05:19:00;2017-10-26 05:30:00;0,18333333333333332
1231;Kuh;ja;HA1h;2017-10-13 15:32:00;2017-10-13 17:50:00;2,3
1231;Kuh;ja;HA1h;2017-10-10 23:08:00;2017-10-13 17:50:00;66,7
1231;Kuh;ja;HA1h;2017-10-11 04:05:00;2017-10-13 17:50:00;61,75
1231;Kuh;ja;HA1h;2017-10-11 05:48:00;2017-10-13 17:50:00;60,03333333333333
1231;Kuh;ja;HA1h;2017-10-11 13:16:00;2017-10-13 17:50:00;52,56666666666667
1231;Kuh;ja;HA1h;2017-10-11 16:14:00;2017-10-13 17:50:00;49,6
1231;Kuh;ja;HA2h;2017-10-13 16:32:00;2017-10-13 17:50:00;1,3
9337;Kuh;ja;HA1h;2017-12-20 19:16:00;2017-12-21 07:30:00;12,233333333333333
9337;Kuh;ja;HA1h;2017-12-21 07:10:00;2017-12-21 07:30:00;0,3333333333333333
9337;Kuh;ja;HA2h;2017-12-21 08:09:00;2017-12-21 07:30:00;-0,65
2596;Faerse;ja;HA1h;2017-10-09 16:17:00;2017-10-09 18:30:00;2,216666666666667
2596;Faerse;ja;HA1h;2017-10-09 18:37:00;2017-10-09 18:30:00;-0,11666666666666667
2596;Faerse;ja;HA2h;2017-10-09 19:37:00;2017-10-09 18:30:00;-1,1166666666666667
8935;Kuh;nein;HA2h;2017-11-07 00:11:00;;
1259;Kuh;ja;HA1h;2017-12-19 10:14:00;2017-12-19 15:30:00;5,266666666666667
1259;Kuh;ja;HA1h;2017-12-19 14:20:00;2017-12-19 15:30:00;1,1666666666666667
1259;Kuh;ja;HA2h;2017-12-19 11:11:00;2017-12-19 15:30:00;4,316666666666666
1259;Kuh;ja;HA2h;2017-12-19 15:21:00;2017-12-19 15:30:00;0,15
9879;Kuh;nein;HA1h;2017-10-20 11:08:00;;
1261;Kuh;ja;HA1h;2017-10-10 11:17:00;2017-10-11 02:00:00;14,716666666666667
