Cow-ID;SonT;HA 1h;HA 2h;SoffT;Event;Event-Score;Moocall-Score;Date/Time of Parturition;Kommentar;Valid Calving;dt HA1 [min];dt HA2 [min];TP HA1;TP HA2;HA1 strict;FP HA1;FP HA2;FP soft;FN HA1;FN HA2;FN soft;;;
1803;14.10.2017 11:16;;;;14.10.2017 12:10;3;1;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;14.10.2017 12:11;;;;15.10.2017 12:14;3;0;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;15.10.2017 12:15;;;16.10.2017 17:23;16.10.2017 16:28;3;1;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
141;16.10.2017 23:15;;;;17.10.2017 02:12;5;0;21.10.2017 10:15;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
141;17.10.2017 02:13;17.10.2017 08:45;;;17.10.2017 08:30;2;1;21.10.2017 10:15;;0;-1500000001;INVALID;0;0;0;1;0;0;0;0;0;;;
278;17.10.2017 09:12;;;;17.10.2017 12:15;2;2;22.10.2017 07:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
565;17.10.2017 13:08;;;;17.10.2017 14:00;2;0;22.10.2017 00:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
9879;18.10.2017 00:12;;;;18.10.2017 03:15;5;0;22.10.2017 09:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
9879;18.10.2017 03:16;;;;18.10.2017 12:11;2;1;22.10.2017 09:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3940;18.10.2017 12:12;18.10.2017 22:44;;18.10.2017 22:56;18.10.2017 15:32;3;0;25.10.2017 17:00;;0;-432;INVALID;0;0;0;1;0;0;0;0;0;;;
3912;19.10.2017 01:20;19.10.2017 03:54;;;19.10.2017 13:17;3;0;20.10.2017 15:05;;0;563;INVALID;0;0;0;1;0;0;0;0;0;;;
3912;19.10.2017 13:18;;;;20.10.2017 00:10;5;0;20.10.2017 15:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3912;20.10.2017 00:11;20.10.2017 13:10;20.10.2017 13:10;20.10.2017 13:10;20.10.2017 12:30;1;0;20.10.2017 15:05;;1;-3999999999;-3999999999;0;0;0;0;0;0;0;0;0;;;
2630;20.10.2017 23:11;;;;21.10.2017 09:30;1;0;21.10.2017 09:45;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
976;21.10.2017 17:20;;;;22.10.2017 14:21;3;1;27.10.2017 09:30;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
976;23.10.2017 07:21;;;;24.10.2017 04:30;5;0;27.10.2017 09:30;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
976;24.10.2017 04:31;;;;25.10.2017 10:23;3;0;27.10.2017 09:30;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3632;25.10.2017 10:18;;;;25.10.2017 21:30;1;0;25.10.2017 23:35;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
9769;26.10.2017 01:05;26.10.2017 00:18;26.10.2017 00:19;26.10.2017 00:19;26.10.2017 02:13;2;1;10.11.2017 04:00;;0;115;114;0;0;0;1;1;1;0;0;0;;;
618;26.10.2017 03:14;;;;27.10.2017 23:30;1;1;28.10.2017 00:10;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
3588;28.10.2017 00:20;;;;28.10.2017 00:21;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 00:22;;;;28.10.2017 01:14;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 01:15;;;;28.10.2017 02:08;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 02:09;;;;28.10.2017 03:06;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 03:07;;;;28.10.2017 06:11;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 06:12;;;;28.10.2017 07:16;5;0;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3588;28.10.2017 07:17;;;;29.10.2017 23:07;4;2;10.11.2017 13:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3635;30.10.2017 01:19;;;;31.10.2017 02:14;5;0;03.11.2017 02:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3635;31.10.2017 02:15;;;;01.11.2017 02:15;5;2;03.11.2017 02:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
668;29.09.2017 16:25;;;;29.09.2017 17:00;2;;04.10.2017 18:20;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
858;29.09.2017 18:20;29.09.2017 19:32;29.09.2017 20:20;;;6;;30.09.2017 03:25;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
858;;29.09.2017 23:41;30.09.2017 00:29;;;6;;30.09.2017 03:25;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
858;;30.09.2017 03:46;;30.09.2017 05:20;30.09.2017 01:30;1;;30.09.2017 03:25;;1;-136;INVALID;0;0;0;0;0;0;0;1;0;;;
1052;30.09.2017 08:30;;;;01.10.2017 18:00;2;;04.10.2017 13:30;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1052;01.10.2017 18:30;;;;04.10.2017 09:15;9;0;04.10.2017 13:30;TFAB;;;;;;;;;;;;;;;
1052;04.10.2017 09:16;;;;04.10.2017 09:30;1;2;04.10.2017 13:30;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
1145;04.10.2017 10:12;04.10.2017 09:18;;;;6;;07.10.2017 08:00;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
