Kuh-ID;Umstalldatum, -zeit;Abkalbedatum, -zeit;Geburtsverlauf;Besonderheiten;Zeit zwischen Beginn Stage II und Partus
1317;16.12.2017 11:30;16.12.2017 15:25;2;;3:55
3685;16.12.2017 16:30;16.12.2017 18:15;1;;1:45
1986;16.12.2017 20:30;16.12.2017 22:45;2;;2:15
2712;16.12.2017 23:30;17.12.2017 01:50;3;;2:20
3994;17.12.2017 08:30;17.12.2017 09:15;1;;0:45
1985;17.12.2017 19:30;18.12.2017 01:20;3;;5:50
3768;18.12.2017 06:30;18.12.2017 08:05;1;;1:35
1259;19.12.2017 15:30;19.12.2017 15:40;1;;0:10
9774;19.12.2017 17:30;19.12.2017 18:45;1;;1:15
1366;19.12.2017 18:30;19.12.2017 22:25;3;;3:55
1284;19.12.2017 21:30;20.12.2017 01:30;1;;4:00
1279;20.12.2017 03:30;20.12.2017 05:55;1;;2:25
5794;20.12.2017 08:30;20.12.2017 13:55;3;;5:25
9381;20.12.2017 14:30;20.12.2017 18:10;2;;3:40
11;20.12.2017 15:30;20.12.2017 19:25;1;;3:55
1195;20.12.2017 17:30;20.12.2017 20:10;1;;2:40
2728;20.12.2017 20:30;20.12.2017 21:30;2;;1:00
2019;20.12.2017 23:30;20.12.2017 23:45;1;;0:15
9337;21.12.2017 07:30;21.12.2017 08:50;1;;1:20
2747;21.12.2017 10:30;21.12.2017 11:00;1;;0:30
2737;21.12.2017 12:38;21.12.2017 13:05;1;;0:27
