Event Score;Anzahl erster Events zuvor;Anzahl erster Events danach;Anzahl pro Stunde;Anzahl pro Stunde
1;15;10;0,002530499548727581;0,0053173105043469015
2;63;14;0,01062809810465584;0,007444234706085662
3;29;8;0,00489229912753999;0,0042538484034775215
4;20;11;0,003373999398303441;0,0058490415547815915
5;8;1;0,0013495997593213765;0,0005317310504346902
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;0;1;0,0;0,0005317310504346902
