ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2572;Kuh;nein;;;ja;2;2017-10-07 17:15:00;2017-10-07 22:00:00;;;nein;;
2572;Kuh;nein;;;ja;2;2017-10-08 15:06:00;2017-10-08 22:00:00;2017-10-08 23:09:00;1;nein;;
2572;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-03 14:39:00
2572;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-04 02:24:00
2572;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-04 15:39:00
2572;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-05 12:42:00
2572;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-03 15:39:00
2572;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-04 16:39:00
2574;Kuh;nein;;;ja;3;2017-09-29 18:10:00;2017-10-01 04:00:00;;;nein;;
2574;Kuh;nein;;;ja;3;2017-10-01 04:01:00;2017-10-02 17:00:00;2017-10-02 17:21:00;;nein;;
2574;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-09-29 18:32:00
2574;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-09-30 20:49:00
2574;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-01 08:50:00
2574;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-02 14:25:00
2574;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-09-29 19:32:00
2574;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-01 09:50:00
2574;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-02 15:25:00
527;Kuh;ja;2017-10-26 02:30:00;2017-10-26 02:50:00;ja;4;2017-10-21 17:24:00;2017-10-23 06:05:00;;2;nein;;
527;Kuh;ja;2017-10-26 02:30:00;2017-10-26 02:50:00;ja;1;2017-10-23 11:20:00;2017-10-26 02:30:00;;2;nein;;
527;Kuh;ja;2017-10-26 02:30:00;2017-10-26 02:50:00;nein;;;;;;ja;HA1h;2017-10-24 10:41:00
527;Kuh;ja;2017-10-26 02:30:00;2017-10-26 02:50:00;nein;;;;;;ja;HA1h;2017-10-25 02:47:00
527;Kuh;ja;2017-10-26 02:30:00;2017-10-26 02:50:00;nein;;;;;;ja;HA2h;2017-10-24 11:41:00
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-09-29 16:12:00;2017-10-01 13:00:00;2017-10-01 12:51:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-10-03 07:40:00;2017-10-03 11:50:00;2017-10-03 13:35:00;1;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-10-03 23:59:00;2017-10-04 01:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;4;2017-10-05 00:01:00;2017-10-05 03:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-10-05 03:01:00;2017-10-05 14:00:00;2017-10-05 17:33:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-10-05 16:00:00;2017-10-05 18:45:00;2017-10-05 19:22:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;3;2017-10-06 03:00:00;2017-10-06 05:00:00;;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;2;2017-10-06 05:01:00;2017-10-06 09:00:00;2017-10-06 09:53:00;;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;ja;1;2017-10-06 23:00:00;2017-10-07 06:30:00;2017-10-07 07:47:00;0;nein;;
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;nein;;;;;;ja;HA1h;2017-10-07 04:39:00
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;nein;;;;;;ja;HA1h;2017-09-29 17:50:00
2576;Faerse;ja;2017-10-07 06:30:00;2017-10-07 07:55:00;nein;;;;;;ja;HA2h;2017-10-07 05:26:00
2577;Kuh;nein;;;ja;2;2017-10-03 23:00:00;2017-10-03 23:59:00;;;nein;;
2577;Kuh;nein;;;ja;2;2017-10-06 05:00:00;2017-10-06 12:00:00;2017-10-06 10:15:00;;nein;;
2577;Kuh;nein;;;ja;2;2017-10-07 15:38:00;2017-10-07 17:00:00;;;nein;;
2577;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-07 16:37:00
2577;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-07 17:36:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;ja;2;2017-09-29 16:02:00;2017-09-29 17:00:00;;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;ja;2;2017-09-29 17:01:00;2017-09-30 23:00:00;2017-09-30 12:29:00;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;ja;1;2017-10-02 01:00:00;2017-10-02 02:00:00;2017-10-02 04:10:00;;nein;;
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;nein;;;;;;ja;HA1h;2017-10-02 02:03:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;nein;;;;;;ja;HA1h;2017-09-30 09:32:00
